,rmse,rmse_detrend,rmse_detrend_Tissue,rmse_detrend_Blood,rmse_detrend_DGM,DeviationFromLinearSlope,CalcStreak,DeviationFromCalcMoment,name,name.1,visual2,visual,Submission Identifiers from Google (just to check consistency during combination of files),Algorithm-type,Does your algorithm incorporate information derived from magnitude images?,Regularization terms,Did your algorithm use the provided frequency map or the four individual echo phase images?,Submission Identifier
62,57.02347,62.15139,73.84391,114.747,33.21487,0.04189044,0.08037431,27.08226,4X3YH3Vb8q_,'4X3YH3Vb8q_',2.095238095238095,2.888888888888889,4X3YH3Vb8q,Closed-form direct solution,No,L2,Individual echo phase images,4X3YH3Vb8q
63,58.93294,70.86211,85.40074,128.1278,34.14508,0.3190622,0.07903913,28.37553,MEWK7yM591_,'MEWK7yM591_',2.084656084656085,2.777777777777778,MEWK7yM591,Hybrid (multiple categories),Yes,L1,Individual echo phase images,MEWK7yM591
64,58.18459,70.80226,85.11833,102.8734,45.07985,0.3779193,0.1307978,47.43565,9feq374hs5_,'9feq374hs5_',2.084656084656085,2.666666666666667,9feq374hs5,Inverse filtering (TKD-like),No,None or does not apply,Individual echo phase images,9feq374hs5
65,54.05408,63.44985,77.48882,110.5351,32.18755,0.03094596,0.03484325,10.58926,9feq374hD1_,'9feq374hD1_',2.074074074074074,2.777777777777778,9feq374hD1,Spatial-domain iterative reconstruction,No,Total-Variation,Individual echo phase images,9feq374hD1
66,68.87743,92.3565,131.0759,140.7902,37.60079,0.1313335,0.1336631,43.18991,AhSiw67Vje_,'AhSiw67Vje_',2.037037037037037,2.555555555555555,AhSiw67Vje,Deep Learning,Yes,None or does not apply,Frequency map,AhSiw67Vje
67,50.21399,55.96969,66.96964,106.3793,26.99233,0.001466513,0.07112429,23.67018,r4RQwkm3Hd_,'r4RQwkm3Hd_',1.888888888888889,2.333333333333333,r4RQwkm3Hd,Spatial-domain iterative reconstruction,Yes,"Total-Variation, L2 norm of laplacian of harmonic phase",Frequency map,r4RQwkm3Hd
68,40.54289,44.08843,54.67752,84.2352,21.92477,0.005087197,0.06226609,23.31354,mojcYZ0HAA_,'mojcYZ0HAA_',1.851851851851852,2.333333333333333,mojcYZ0HAA,Spatial-domain iterative reconstruction,Yes,"Total-Variation, L2 norm of Laplacian of harmonic phase",Individual echo phase images,mojcYZ0HAA
69,74.68857,87.69167,116.794,138.1512,41.91212,0.09445354,0.04911915,14.61234,ZCxt9nZeKM_,'ZCxt9nZeKM_',1.825396825396825,2.444444444444445,ZCxt9nZeKM,Deep Learning,No,None or does not apply,Individual echo phase images,ZCxt9nZeKM
70,55.32722,63.11305,77.22528,108.3624,37.67848,0.3474769,0.141105,32.62656,1CGHkJJskw_,'1CGHkJJskw_',1.814814814814815,2.333333333333333,1CGHkJJskw,Spatial-domain iterative reconstruction,No,Total-Variation,Both,1CGHkJJskw
71,91.48986,97.25135,123.6738,136.2346,51.34372,0.773801,0.2184278,44.93754,nuJzsVXoAb_,'nuJzsVXoAb_',1.740740740740741,2.333333333333333,nuJzsVXoAb,Deep Learning,No,L2,Frequency map,nuJzsVXoAb
72,71.41409,85.87093,114.4253,134.9817,39.43613,0.1153626,0.04814203,11.83654,YTQ7SppYwF_,'YTQ7SppYwF_',1.740740740740741,2.333333333333333,YTQ7SppYwF,Deep Learning,No,None or does not apply,Individual echo phase images,YTQ7SppYwF
73,63.80828,69.81731,79.14616,144.2,37.7592,0.03743303,0.06824724,8.172245,xb9nMRY4gj_,'xb9nMRY4gj_',1.740740740740741,2.222222222222222,xb9nMRY4gj,Spatial-domain iterative reconstruction,Yes,Total-Variation,Frequency map,xb9nMRY4gj
74,64.44715,77.19862,92.07333,148.0349,38.23291,0.09132086,0.1138709,29.95794,LRv1zbfVD6_,'LRv1zbfVD6_',1.740740740740741,2.0,LRv1zbfVD6,Spatial-domain iterative reconstruction,No,"L1, Total-Variation",Frequency map,LRv1zbfVD6
75,72.54233,96.49918,118.1714,146.9429,87.02789,0.3519942,0.08593752,40.45864,NF3tlGX8ED_,'NF3tlGX8ED_',1.703703703703704,2.222222222222222,NF3tlGX8ED,Deep Learning,No,deep learning,Individual echo phase images,NF3tlGX8ED
76,82.04158,90.66779,107.1184,149.8958,49.90735,0.04119796,0.1327225,34.23429,XpRqBm7C3f_,'XpRqBm7C3f_',1.703703703703703,2.0,XpRqBm7C3f,Spatial-domain iterative reconstruction,Yes,L2,,XpRqBm7C3f
77,82.33357,89.26984,106.7252,141.7917,48.79131,0.07114605,0.1254941,26.80893,Fd14aCAFot_,'Fd14aCAFot_',1.64021164021164,2.222222222222222,Fd14aCAFot,Spatial-domain iterative reconstruction,Yes,L2,,Fd14aCAFot
78,81.62493,89.99144,113.0078,153.1629,45.3027,0.07793468,0.1132994,27.00659,u1qUWqXjWY_,'u1qUWqXjWY_',1.64021164021164,2.111111111111111,u1qUWqXjWY,Deep Learning,No,None or does not apply,Frequency map,u1qUWqXjWY
79,89.50424,79.91687,96.9236,142.0772,47.45115,0.2033258,0.1418033,33.8693,j77XACIkgF_,'j77XACIkgF_',1.492063492063492,2.0,j77XACIkgF,Closed-form direct solution,No,L2,,j77XACIkgF
80,71.49626,95.23802,119.5668,156.8359,47.14634,0.1264666,0.1284916,28.82429,x9BSs71ISS_,'x9BSs71ISS_',1.407407407407407,0.7777777777777778,x9BSs71ISS,Spatial-domain iterative reconstruction,Yes,"L1, L2",Frequency map,x9BSs71ISS
81,68.01368,78.71254,92.78696,152.4991,39.3796,0.03845009,0.1208557,21.47019,PkavvHRRmm_,'PkavvHRRmm_',1.37037037037037,1.777777777777778,PkavvHRRmm,Fourier-domain iterative reconstruction,No,Total-Variation,Frequency map,PkavvHRRmm
82,93.13313,81.75432,97.63795,149.9697,47.69529,0.2353921,0.1302684,25.13403,sgYnn2UlVE_,'sgYnn2UlVE_',1.37037037037037,1.666666666666667,sgYnn2UlVE,Closed-form direct solution,No,L2,,sgYnn2UlVE
83,96.39838,153.261,251.5834,187.9728,65.57622,0.2579676,0.1268179,43.07096,urVBXFAeow_,'urVBXFAeow_',1.306878306878307,1.888888888888889,urVBXFAeow,Deep Learning,No,None or does not apply,Frequency map,urVBXFAeow
84,69.23384,88.22543,107.5475,149.4033,53.03107,0.2089287,0.1262761,36.02719,0ownSRAIfH_,'0ownSRAIfH_',1.296296296296296,1.555555555555556,0ownSRAIfH,low-rank Hankel matrix approach,No,Low-rankness of Hankel structured matrix,Frequency map,0ownSRAIfH
85,77.00696,101.6875,147.5617,160.6284,46.51839,0.03014714,0.1302466,38.45804,Mx2TDToh2i_,'Mx2TDToh2i_',1.259259259259259,1.555555555555556,Mx2TDToh2i,Deep Learning,No,None or does not apply,Frequency map,Mx2TDToh2i
86,98.3286,85.50212,104.8768,144.7653,53.89996,0.2652092,0.140531,33.1669,9xFaMbtDhf_,'9xFaMbtDhf_',0.9259259259259258,1.222222222222222,9xFaMbtDhf,Closed-form direct solution,No,None or does not apply,,9xFaMbtDhf
87,95.62131,106.0563,140.4119,145.3684,48.64615,0.06926116,0.2195705,28.5298,cbi99GQHhl_,'cbi99GQHhl_',0.9259259259259258,1.111111111111111,cbi99GQHhl,Deep Learning,No,implicit in network,Frequency map,cbi99GQHhl
88,69.40408,79.30265,92.62479,154.5566,41.98288,0.1041399,0.1750863,29.45185,HnOQS9oNNu_,'HnOQS9oNNu_',0.8148148148148148,1.111111111111111,HnOQS9oNNu,Hybrid (multiple categories),No,L2,Frequency map,HnOQS9oNNu
89,156.4864,100.2699,121.7455,135.7989,50.88918,0.9018106,0.09631388,16.25478,Jg4olcpuFP_,'Jg4olcpuFP_',0.8148148148148148,1.111111111111111,Jg4olcpuFP,Deep Learning,No,None or does not apply,Frequency map,Jg4olcpuFP
90,102.2297,87.246,105.7748,152.1043,54.39055,0.2961674,0.1310059,22.99315,zSKb53P9XH_,'zSKb53P9XH_',0.7407407407407407,0.8888888888888888,zSKb53P9XH,Closed-form direct solution,No,None or does not apply,,zSKb53P9XH
91,123.7475,91.93059,117.8856,139.208,51.43945,0.9079018,0.1602343,37.63098,fubYYthC47_,'fubYYthC47_',0.5185185185185185,0.7777777777777778,fubYYthC47,Deep Learning,No,None or does not apply,Frequency map,fubYYthC47
92,148.8578,128.2222,177.2449,193.7242,51.08039,0.8879079,0.1430629,25.91724,W1WbilA6Lv_,'W1WbilA6Lv_',0.3333333333333333,0.1111111111111111,W1WbilA6Lv,Hybrid (multiple categories),No,Generalized total variation,Individual echo phase images,W1WbilA6Lv
93,202.4339,215.4176,280.2911,220.428,128.3541,0.02368847,0.1499576,24.77312,9feq374hs0_,'9feq374hs0_',0.0,0.0,9feq374hs0,Inverse filtering (TKD-like),No,None or does not apply,Individual echo phase images,9feq374hs0
94,41.7443,45.55336,55.76748,65.60929,31.87638,0.02284008,0.03384567,11.1937,BnhV1weeRf,BnhV1weeRf',5.0,5.0,BnhV1weeRf, implicit Deep Network Prior,Yes, implicit Deep Network Prior,Individual echo phase images,BnhV1weeRf
